Time,APM 6 CPU,APM 6 Memory
5,0.0,0.1
10,0.0,0.1
15,0.0,0.2
20,0.0,0.2
25,0.0,0.3
30,0.0,0.3
35,0.0,0.4
40,0.0,0.4
45,0.0,0.4
50,0.0,0.4
55,0.0,0.4
60,0.0,0.6
65,0.0,0.7
70,0.0,0.7
75,0.0,0.7
80,0.0,0.8
85,0.0,0.9
90,0.0,0.9
95,0.0,1.1
100,0.0,1.1
105,0.0,1.2
110,0.0,1.2
115,0.0,1.3
120,0.0,1.3
125,0.0,1.4
130,0.0,1.4
135,0.0,1.5
140,0.0,1.5
145,0.0,1.5
150,0.0,1.5
155,0.0,1.6
160,0.0,1.6
165,0.0,1.6
170,0.0,1.6
175,0.0,1.6
180,0.0,1.8
185,0.0,1.8
190,0.0,1.9
195,0.0,1.9
200,0.0,2.0
205,0.0,2.0
210,0.0,2.1
215,0.0,2.2
220,0.0,2.2
225,0.0,2.3
230,0.0,2.3
235,0.0,2.4
240,0.0,2.4
245,0.0,2.4
250,0.0,2.4
255,0.0,2.4
260,0.0,2.6
265,0.0,2.6
270,0.0,2.8
275,0.0,2.8
280,0.0,3.0
285,0.0,3.0
290,0.0,3.0
295,0.0,3.1
300,0.0,3.3
305,0.0,3.3
310,0.0,3.4
315,0.0,3.4
320,0.0,3.5
325,0.0,3.6
330,0.0,3.6
335,0.0,3.6
340,0.0,3.6
345,0.0,3.6
350,0.0,3.7
355,0.0,3.7
360,0.0,3.8
365,0.0,3.8
370,0.0,3.8
375,0.0,3.8
380,0.0,3.9
385,0.0,3.9
390,0.0,4.0
395,0.0,4.0
400,0.0,4.1
405,0.0,4.1
410,0.0,4.1
415,0.0,4.1
420,0.0,4.2
425,0.0,4.4
430,0.0,4.4
435,0.0,4.4
440,0.0,4.6
445,0.0,4.6
450,0.0,4.6
455,0.0,4.7
460,0.0,4.7
465,0.0,4.8
470,0.0,4.8
475,0.0,4.8
480,0.0,4.8
485,0.0,5.0
490,0.0,5.0
495,0.0,5.0
500,0.0,5.0
505,0.0,5.0
510,0.0,5.2
515,0.0,5.2
520,0.0,5.2
525,0.0,5.2
530,0.0,5.3
535,0.0,5.3
540,0.0,5.4
545,0.0,5.4
550,0.0,5.4
555,0.0,5.4
560,0.0,5.4
565,0.0,5.6
570,0.0,5.6
575,0.0,5.7
580,0.0,5.7
585,0.0,5.7
590,0.0,5.7
595,0.0,5.9
600,0.0,5.9
605,0.0,6.0
610,0.0,6.0
615,0.0,6.0
620,0.0,6.1
625,0.0,6.1
630,0.0,6.2
635,0.0,6.2
640,0.0,6.3
645,0.0,6.3
650,0.0,6.3
655,0.0,6.5
660,0.0,6.5
665,0.0,6.6
670,0.0,6.6
675,0.0,6.7
680,0.0,6.7
685,0.0,6.9
690,0.0,6.9
695,0.0,7.0
700,0.0,7.0
705,0.0,7.1
710,0.0,7.1
715,0.0,7.2
720,0.0,7.2
725,0.0,7.2
730,0.0,7.2
735,0.0,7.4
740,0.0,7.4
745,0.0,7.6
750,0.0,7.6
755,0.0,7.6
760,0.0,7.6
765,0.0,7.7
770,0.0,7.7
775,0.0,7.8
780,0.0,7.8
785,0.0,7.8
790,0.0,7.9
795,0.0,7.9
800,0.0,8.0
805,0.0,8.0
810,0.0,8.2
815,0.0,8.2
820,0.0,8.2
825,0.0,8.2
830,0.0,8.3
835,0.0,8.3
840,0.0,8.4
845,0.0,8.5
850,0.0,8.5
855,0.0,8.7
860,0.0,8.7
865,0.0,8.7
870,0.0,8.7
875,0.0,8.9
880,0.0,8.9
885,0.0,9.0
890,0.0,9.0
895,0.0,9.1
900,0.0,9.3
