Time,RX Data Rate, TX Data Rate, Disk Writes, Disk Capacity
5,0,0,2599.49,42281520
10,6,6,2592.60,46463604
15,12,12,2585.82,46464656
20,15,15,2579.16,46464656
25,19,18,2572.56,46464656
30,22,21,2566.02,46464656
35,23,23,2559.54,46464656
40,25,24,2553.18,46464656
45,26,26,2547.25,46464656
50,26,26,2541.33,46464656
55,31,31,2535.48,46410344
60,42,41,2572.02,46213432
65,45,44,2602.46,45950768
70,43,42,2656.38,45951824
75,41,40,2708.83,45951824
80,39,39,2724.44,45427536
85,38,38,2759.03,45427536
90,37,37,2811.65,45427536
95,36,36,2828.33,45427536
100,34,34,2882.62,45427536
105,34,34,2913.62,44378960
110,44,44,2964.47,44378960
115,49,49,2979.37,44378960
120,45,44,3024.38,44378960
125,42,42,3068.85,44378960
130,40,41,3111.79,44378960
135,41,40,3141.76,44378960
140,40,40,3189.09,44378960
145,41,41,3222.98,44378960
150,46,46,3253.12,42273500
155,57,57,3306.98,42281808
160,59,59,3329.05,42281808
165,56,56,3368.76,42281808
170,54,54,3403.86,42281808
175,52,52,3433.57,42281808
180,52,52,3490.08,42281808
185,52,52,3518.73,42281808
190,52,52,3553.69,42281808
195,52,52,3581.69,42281808
200,56,56,3615.64,42281808
205,66,66,3665.36,42281808
210,72,71,3689.33,42281808
215,70,70,3729.90,42281808
220,67,66,3771.86,42281808
225,62,62,3814.61,42281808
230,59,59,3846.26,42281808
235,56,55,3894.11,42281808
240,55,54,3906.02,42281808
245,54,54,3957.56,38087504
250,56,56,3970.45,38087504
255,66,66,4017.85,38087504
260,75,74,4030.51,38087504
265,76,76,4079.29,38087504
270,72,71,4091.95,38087504
275,68,68,4104.35,38087504
280,63,62,4150.87,38087504
285,61,60,4182.58,38087504
290,59,59,4207.98,38087504
295,53,53,4238.63,38087504
300,46,46,4268.51,38087504
305,45,45,4304.21,38087504
310,52,51,4344.57,38087504
315,45,45,4383.47,38087504
320,40,40,4393.44,38087504
325,35,35,4431.56,38087504
330,31,31,4460.46,38087504
335,30,29,4508.02,38087504
340,29,29,4518.61,38087504
345,28,28,4546.38,38087504
350,32,32,4576.57,38087504
355,43,43,4603.49,38087504
360,51,50,4633.36,38087504
365,57,57,4665.29,38087504
370,51,50,4712.06,38087504
375,46,46,4723.18,38087504
380,42,42,4752.07,38087504
385,38,38,4791.81,38087504
390,39,38,4831.84,38087504
395,41,40,4852.92,38087504
400,41,40,4892.94,38087504
405,51,50,4901.41,38087504
410,58,58,4943.19,38087504
415,68,68,4970.58,38087504
420,64,64,4996.49,38087420
425,61,60,5058.27,38087460
430,57,56,5067.05,38087460
435,55,54,5111.31,33893156
440,54,54,5121.40,33893156
445,54,54,5168.94,33893156
450,54,54,5178.94,33893156
455,54,54,5203.14,33893156
460,64,64,5230.73,33893156
465,71,71,5255.81,33893156
470,66,66,5308.31,33893132
475,63,63,5315.67,33893096
480,60,59,5348.79,33893116
485,58,58,5380.46,33892108
490,56,55,5415.90,33892108
495,55,55,5423.09,33892108
500,56,55,5462.88,33892108
505,67,66,5488.40,33892108
510,76,76,5510.87,33892108
515,75,74,5536.68,33892108
520,72,71,5560.44,33892108
525,68,67,5585.14,33892108
530,66,66,5610.47,33892108
535,65,64,5635.92,33892108
540,64,64,5662.34,33892108
545,63,63,5670.26,33892108
550,63,62,5708.79,33892108
555,68,68,5716.44,33892108
560,78,78,5759.73,33892108
565,86,86,5766.19,33892108
570,79,79,5805.81,33893184
575,73,73,5839.40,33893184
580,67,67,5876.92,33893184
585,64,64,5881.69,33893184
590,60,59,5912.31,33893184
595,59,58,5950.49,33893184
600,58,57,5955.84,33893184
605,65,64,5993.90,33893184
610,74,74,6016.16,33893184
615,77,77,6053.37,33893184
620,72,72,6059.53,33893184
625,69,69,6097.70,33893184
630,68,67,6103.32,25504580
635,66,66,6141.79,25504580
640,65,64,6146.73,25504580
645,64,63,6184.69,25504580
650,61,60,6188.70,25504580
655,62,62,6223.01,25504580
660,72,71,6251.70,25504580
665,79,79,6279.20,25504580
670,74,74,6297.37,25504580
675,67,67,6329.46,25504580
680,59,59,6348.51,25504580
685,55,55,6380.70,25504580
690,52,52,6383.98,25504580
695,50,49,6404.23,25504580
700,46,46,6444.85,25504580
705,48,48,6450.71,25504580
710,58,57,6474.61,25504580
715,65,65,6495.21,25504580
720,69,68,6516.08,46464640
725,61,61,6504.53,46464640
730,52,54,6492.95,46464640
735,47,47,6481.35,46464616
740,42,42,6469.64,46464616
745,37,37,6456.69,46464616
750,33,33,6442.55,46464616
755,31,30,6429.26,46464616
760,39,39,6416.02,46464636
765,47,47,6402.82,46464636
770,42,42,6389.68,46464636
775,37,36,6376.83,46464636
780,31,32,6364.41,46464636
785,28,28,6352.34,46464636
790,25,25,6340.41,46464636
795,24,23,6328.70,46464636
800,22,22,6317.82,46464636
805,32,32,6306.94,46464636
810,42,42,6296.03,46464636
815,41,41,6285.20,46464636
820,42,42,6274.18,46464636
825,44,43,6262.47,46464636
830,43,42,6250.82,46464636
835,44,43,6239.20,46464636
840,44,44,6226.80,46464636
845,44,43,6214.33,46464636
850,52,51,6202.01,46464636
855,63,63,6189.70,46464636
860,71,70,6177.39,46464636
865,65,65,6165.27,46464636
870,60,59,6154.16,46464636
875,52,52,6143.84,46464636
880,48,47,6133.55,46464636
885,44,44,6123.29,46464636
890,41,41,6113.08,46464636
895,39,39,6102.71,46464636
900,44,44,6091.70,46464636
